stock_code,post_id,title,author,date,reads,replies,sector
601360,1768987820,暗盘是不是一直在跑啊？9块估计保不住了，太坑人了吧,股友0365r38m27,09-04 01:51,29,0,AI_Agent
601360,1768986090,韭菜们跑吧，下周有低点再接,涅槃重生一年两倍,09-04 01:50,30,0,AI_Agent
601360,1768985253,减持,股友0d0c097058,09-04 01:50,29,0,AI_Agent
601360,1768903459,现在还有两个多点。还有至少一个点的砸盘空间。砸到一个多点的时候，砸盘的力量才会枯,戏说人生,09-04 12:25,88,1,AI_Agent
601360,1768973912,快跑！！！,股友06903Y102m,09-04 01:42,29,0,AI_Agent
601360,1768973659,每次高点卖暴跌再买,有耐心的光心语5,09-04 01:42,93,0,AI_Agent
601360,1768928631,目标价6.66元，全仓买入,酒旗的艾薇,09-04 01:13,39,1,AI_Agent
601360,1768239347,8.88差两分没接到，撤单不买了，感觉要么买不到，买到了和上次一样还是套。,金线牵牛,09-03 11:01,162,5,AI_Agent
601360,1768963014,都不卖就砸到6块,随机昵称0987,09-04 01:36,33,1,AI_Agent
601360,1768967867,360真是缺德,积极向上的智多星,09-04 01:39,32,0,AI_Agent
601360,1768967496,恶心到了,股友6l3O786689,09-04 01:38,26,0,AI_Agent
601360,1768936210,压单必涨，托单必跌。——360第1条好像是失灵的只要出现万手压单，很少会把上面的,戏说人生,09-04 01:18,73,0,AI_Agent
601360,1768962378,T了，是对的，又回来了,高抛低吸789,09-04 01:36,28,0,AI_Agent
601360,1768903245,继续做T降成本,岁月静好2022,09-04 12:24,164,1,AI_Agent
601360,1768960534,一地鸡毛啊,才思的荆芝,09-04 01:34,31,0,AI_Agent
601360,1768854917,主力没钱了，上周拉个涨停都被老周套住了。大家一起等主力去找钱回来再拉个涨停。,股友911W5N7282,09-04 11:08,80,3,AI_Agent
601360,1768937067,各路唱多的来了就要跌了,多拉大A梦,09-04 01:19,46,1,AI_Agent
601360,1768925597,客户经理提醒，此股价格调整充分，大家可以果断买入！！,n1413943490c8b5f,09-04 01:10,47,1,AI_Agent
601360,1768948841,这股就适合来回做T,复利年年有余,09-04 01:28,30,0,AI_Agent
601360,1768948716,天天演这出,股友h35829R831,09-04 01:27,30,0,AI_Agent
601360,1768945923,这下午又是要跳水节奏了,随机昵称0987,09-04 01:26,35,0,AI_Agent
601360,1768944276,涨了不卖还要买，不是钱多就是人傻,随机昵称0987,09-04 01:25,29,0,AI_Agent
601360,1768940822,忍无可忍，卖了，留下的发财,这B总比那B强,09-04 01:22,29,0,AI_Agent
601360,1768939747,这被他恶心到了，太恶心了，天天画大饼装犊子,股友6l3O786689,09-04 01:21,26,0,AI_Agent
601360,1768934156,破烂就是破烂，没有任何资金玩,股友WxJwsk,09-04 01:17,29,0,AI_Agent
601360,1768930998,准备梭哈,清雅的甫璟,09-04 01:14,33,0,AI_Agent
601360,1768930897,别人都翻倍了,下午加仓,09-04 01:14,27,0,AI_Agent
601360,1768928361,兄弟们，傲天来建个底仓,天人路成傲天,09-04 01:12,43,1,AI_Agent
601360,1768927771,坐好，吃面，味道可好了,股友g228M07970,09-04 01:12,33,0,AI_Agent
601360,1768926787,有行情也得在节后了，中秋节叠加国庆节。只能维持区间震荡。小批量的提前潜伏的资金会,戏说人生,09-04 01:11,45,0,AI_Agent
601360,1768919519,你也有漫剧为什么不涨,今年炒股,09-04 01:06,39,1,AI_Agent
601360,1768915574,也该涨停啦，主力发飙吧，拉一个吧，你行的,穷的叮当响每月只吃三次肉,09-04 01:01,40,2,AI_Agent
601360,1768907084,现在的任何概念轮动非常快，都没有持续性。大涨一天都全跑了。第2天再快速回撤。所以,戏说人生,09-04 12:42,134,1,AI_Agent
601360,1768906961,它，有没补缺口的时候么,摸鱼芒芒,09-04 12:42,30,0,AI_Agent
601360,1768901016,别人都准备真金白银投入了，咱们还在高抛低吸玩的好不快活,porridge_sheep,09-04 12:15,316,1,AI_Agent
601360,1768902913,全是量化,科路ST,09-04 12:23,32,0,AI_Agent
601360,1768286282,深谈，短中长期逻辑应对策略！,融券起家,09-03 11:54,1119,42,AI_Agent
601360,1768899168,下半年脚踏两只船：一个AI，一个银行！盯着培育钻石和金刚石散热！,股友YYbFR9,09-04 12:07,42,0,AI_Agent
601360,1768896219,中国物理AI厂商全景报告指出：3375亿美元市场空间打开，中国物理AI开启十年增,股友YYbFR9,09-04 11:57,138,0,AI_Agent
601360,1768886217,上影线多说明在这只股上，做T的非常多。这只股相对来说还是人气足，活跃，非常适合做,戏说人生,09-04 11:34,179,1,AI_Agent
601360,1768893316,这股盘子大点，做T很容易做飞了,股友YYbFR9,09-04 11:48,51,1,AI_Agent
601360,1768886655,这,基民y306G80000,09-04 11:34,30,0,AI_Agent
601360,1768880939,全是上影线，抛压太多了，腊机,我买的终究要成妖,09-04 11:28,37,1,AI_Agent
601360,1768885461,欢迎来到AGI时代OpenAI总裁GregBrockman用这句话结束了GPT-,新的感觉6688,09-04 11:33,41,0,AI_Agent
601360,1768884955,这拉机都是上影线，卖的永远比买的多，机构大户都在卖，股东和老周也拼命在卖，分明就,股友d3776T3932,09-04 11:32,35,0,AI_Agent
601360,1768838726,等下一次分红就又有交税理由减持了，这次的还没减完呢，要不是有同行衬托，没人想来这,股友g070P31275,09-04 10:57,44,1,AI_Agent
601360,1768860690,下午该窜稀了,纳兰特烦恼,09-04 11:13,64,3,AI_Agent
601360,1768870913,ai宕机这货不管管？,宏图大展的白鹤,09-04 11:20,37,0,AI_Agent
601360,1768870910,哎，点心一个,求你唔七5,09-04 11:20,35,0,AI_Agent
601360,1768678444,这货下午又得回落，你懂的,有耐心的光心语5,09-04 09:40,32,1,AI_Agent
601360,1768866261,又被挂山顶了,自强不息得贾迎春,09-04 11:17,30,0,AI_Agent
601360,1768770003,是不是里面想套现的大资金太多了吧，所以没有人敢拉搞不懂,股市心法,09-04 10:17,46,1,AI_Agent
601360,1768758195,随时涨停,静静的看庄表演吧,09-04 10:10,82,4,AI_Agent
601360,1768849064,明天回补今天有板块情绪支撑着明天板块退潮才能真正杀下来,戏说人生,09-04 11:04,106,5,AI_Agent
601360,1766976965,一家科技公司，主营确是广告,等到一千年以后,09-01 10:05,57,4,AI_Agent
